iter	Passed	Remaining
0	422	421717
1	433	216463
2	441	146846
3	453	112802
4	627	124836
5	650	107744
6	657	93218
7	759	94173
8	775	85413
9	788	78057
10	794	71477
11	1218	100316
12	1224	92994
13	1234	86913
14	1239	81416
15	1245	76625
16	1350	78085
17	1357	74045
18	1372	70842
19	1380	67647
20	1387	64666
21	1492	66333
22	1498	63633
23	1518	61734
24	1525	59497
25	1583	59311
26	1589	57272
27	1625	56420
28	1634	54720
29	1701	55010
30	1709	53438
31	1717	51939
32	1726	50593
33	1733	49246
34	1788	49301
35	1794	48043
36	1804	46953
37	1813	45909
38	1886	46493
39	1943	46633
40	1950	45617
41	1961	44735
42	2086	46446
43	2156	46859
44	2162	45902
45	2169	44992
46	2179	44188
47	2211	43863
48	2273	44115
49	2281	43357
50	2341	43569
51	2348	42822
52	2355	42084
53	2366	41462
54	2372	40765
55	2428	40929
56	2436	40303
57	2444	39709
58	2453	39130
59	2535	39717
60	2545	39178
61	2555	38658
62	2570	38224
63	2621	38334
64	2629	37830
65	2636	37313
66	2658	37018
67	2666	36546
68	2696	36377
69	2706	35958
70	2714	35514
71	2724	35116
72	2730	34674
73	2737	34257
74	2744	33853
75	2751	33450
76	2762	33108
77	2767	32718
78	2819	32871
79	2829	32533
80	2838	32206
81	2847	31883
82	2938	32462
83	2944	32113
84	2955	31814
85	2963	31493
86	2974	31219
87	3033	31436
88	3041	31136
89	3051	30849
90	3061	30583
91	3124	30835
92	3129	30522
93	3141	30281
94	3149	30002
95	3260	30703
96	3270	30448
97	3277	30168
98	3286	29912
99	3303	29728
100	3373	30026
101	3385	29801
102	3396	29580
103	3404	29327
104	3479	29657
105	3523	29713
106	3531	29471
107	3562	29422
108	3577	29243
109	3767	30483
110	3829	30668
111	3835	30408
112	3845	30182
113	3975	30895
114	3999	30780
115	4015	30602
116	4020	30340
117	4091	30583
118	4099	30349
119	4165	30547
120	4175	30332
121	4179	30081
122	4188	29867
123	4202	29690
124	4253	29776
125	4264	29580
126	4269	29348
127	4281	29169
128	4287	28949
129	4326	28954
130	4332	28742
131	4341	28546
132	4349	28353
133	4443	28719
134	4453	28537
135	4460	28337
136	4471	28169
137	4484	28014
138	4556	28223
139	4581	28146
140	4593	27982
141	4598	27784
142	4714	28251
143	4721	28066
144	4727	27874
145	4736	27702
146	4749	27560
147	4956	28530
148	4974	28409
149	4996	28311
150	5039	28335
151	5059	28225
152	5141	28460
153	5176	28438
154	5193	28310
155	5375	29083
156	5383	28905
157	5394	28748
158	5413	28631
159	5432	28519
160	5558	28966
161	5583	28880
162	5602	28766
163	5612	28607
164	5698	28837
165	5706	28671
166	5712	28495
167	5718	28320
168	5742	28238
169	5757	28108
170	5770	27977
171	5780	27826
172	5968	28530
173	5986	28417
174	6003	28302
175	6019	28180
176	6138	28544
177	6160	28449
178	6181	28350
179	6193	28213
180	6237	28222
181	6247	28080
182	6254	27922
183	6264	27779
184	6269	27619
185	6278	27477
186	6284	27322
187	6295	27191
188	6301	27039
189	6331	26993
190	6341	26861
191	6348	26714
192	6356	26578
193	6362	26432
194	6369	26296
195	6375	26154
196	6384	26024
197	6392	25892
